Group,Marker Icon,Marker Color,Icon Color,Custom Size,Name,Image,Description,Location,Latitude,Longitude,Found,Quality,Source
Response,building,red,white,,Eindhoven region,,Eindhoven region,Eindhoven region,51.441642,5.4697225,"Eindhoven, Netherlands",Match,Google
Response,building,red,white,,Milton keynes,,Milton keynes,Milton keynes,52.0406224,-0.7594171,"Milton Keynes, UK",Match,Google
Response,building,red,white,,"Houston, TX",,"Houston, TX","Houston, TX",29.7604267,-95.3698028,"Houston, TX, USA",Match,Google
Response,building,red,white,,City of Las Vegas,,City of Las Vegas,City of Las Vegas,36.1699412,-115.1398296,"Las Vegas, NV, USA",Match,Google
Response,building,green,white,,City of Ventura,,City of Ventura,City of Ventura,34.274646,-119.2290316,"Ventura, CA, USA",Match,Google
Response,building,orange,white,,"City of Santa Monica, CA",,"City of Santa Monica, CA","City of Santa Monica, CA",34.0194543,-118.4911912,"Santa Monica, CA, USA",Match,Google
Response,building,darkblue,white,,Tel-Aviv-Yafo,,Tel-Aviv-Yafo,Tel-Aviv-Yafo,32.0852999,34.7817676,"Tel Aviv-Yafo, Israel",Match,Google
Response,building,darkblue,white,,Noord-Holland,,Noord-Holland,Noord-Holland,52.5205869,4.788474,"North Holland, Netherlands",Match,Google
Response,building,darkblue,white,,City of Edmonton,,City of Edmonton,City of Edmonton,53.544389,-113.4909267,"Edmonton, AB, Canada",Match,Google
Response,building,darkblue,white,,City of Mississauga,,City of Mississauga,City of Mississauga,43.5890452,-79.6441198,"Mississauga, ON, Canada",Match,Google
Response,building,darkblue,white,64x64,San Jose,https://www.edx.org/sites/default/files/trinity1.jpg,San Jose,San Jose,37.3382082,-121.8863286,"San Jose, CA, USA",Match,Google
Response,building,darkblue,white,,City of Fort Lauderdale,,City of Fort Lauderdale,City of Fort Lauderdale,26.1224386,-80.1373174,"Fort Lauderdale, FL, USA",Match,Google
Response,building,darkblue,white,,Seattle,,Seattle,Seattle,47.6062095,-122.3320708,"Seattle, WA, USA",Match,Google
Response,building,darkblue,white,,San Francisco,,San Francisco,San Francisco,37.7749295,-122.4194155,"San Francisco, CA, USA",Match,Google
Response,building,darkblue,white,,"San Jose, CA",,"San Jose, CA","San Jose, CA",37.3382082,-121.8863286,"San Jose, CA, USA",Match,Google
Response,building,darkblue,white,,San Antonio,,San Antonio,San Antonio,29.4241219,-98.4936282,"San Antonio, TX, USA",Match,Google
Response,building,darkblue,white,,Detroit,,Detroit,Detroit,42.331427,-83.0457538,"Detroit, MI, USA",Match,Google
Response,building,darkblue,white,,"Cambridge, Massachusetts",,"Cambridge, Massachusetts","Cambridge, Massachusetts",42.3736158,-71.1097335,"Cambridge, MA, USA",Match,Google
Response,building,darkblue,white,,Toronto,,Toronto,Toronto,43.653226,-79.3831843,"Toronto, ON, Canada",Match,Google
Response,building,darkblue,white,,Ville de Montréal,,Ville de Montréal,Ville de Montréal,45.5016889,-73.567256,"Montreal, QC, Canada",Match,Google
Response,building,darkblue,white,,"Pittsburgh, PA",,"Pittsburgh, PA","Pittsburgh, PA",40.4406248,-79.9958864,"Pittsburgh, PA, USA",Match,Google
Response,building,darkblue,white,,"Portland, OR",,"Portland, OR","Portland, OR",45.5230622,-122.6764816,"Portland, OR, USA",Match,Google
Response,building,darkblue,white,,Charlotte,,Charlotte,Charlotte,35.2270869,-80.8431267,"Charlotte, NC, USA",Match,Google
Response,building,darkblue,white,,City of Palo Alto,,City of Palo Alto,City of Palo Alto,37.4418834,-122.1430195,"Palo Alto, CA, USA",Match,Google
Response,building,darkblue,white,,Denver,,Denver,Denver,39.7392358,-104.990251,"Denver, CO, USA",Match,Google
Response,building,darkblue,white,,Adelaide,,Adelaide,Adelaide,-34.9284989,138.6007456,"Adelaide SA, Australia",Match,Google
Response,building,darkblue,white,,Budapest,,Budapest,Budapest,47.497912,19.040235,"Budapest, Hungary",Match,Google
Response,building,darkblue,white,,Tel Aviv,,Tel Aviv,Tel Aviv,32.0852999,34.7817676,"Tel Aviv-Yafo, Israel",Match,Google
Response,building,darkblue,white,,Ontario,,Ontario,Ontario,51.253775,-85.3232139,"Ontario, Canada",Match,Google
Response,building,darkblue,white,,Greater metropolitan Adelaide,,Greater metropolitan Adelaide,Greater metropolitan Adelaide,-34.9251531,138.6067915,"2/70 Hindmarsh Square, Adelaide SA 5000, Australia",Match,Google
Response,building,darkblue,white,,Wageningen,,Wageningen,Wageningen,51.9691868,5.6653948,"Wageningen, Netherlands",Match,Google
Response,building,darkblue,white,,"Auckland, New Zealand",,"Auckland, New Zealand","Auckland, New Zealand",-36.8484597,174.7633315,"Auckland, New Zealand",Match,Google
Response,building,darkblue,white,,"Columbus, OH",,"Columbus, OH","Columbus, OH",39.9611755,-82.9987942,"Columbus, OH, USA",Match,Google
Response,building,darkblue,white,,Boston,,Boston,Boston,42.3600825,-71.0588801,"Boston, MA, USA",Match,Google
Response,building,darkblue,white,,City of Gothenburg,,City of Gothenburg,City of Gothenburg,40.9276614,-100.1606978,"Gothenburg, NE 69138, USA",Match,Google
Response,building,darkblue,white,,West Midlands,,West Midlands,West Midlands,52.4750743,-1.829833,"West Midlands, UK",Match,Google
Response,building,darkblue,white,,Amsterdam,,Amsterdam,Amsterdam,52.3702157,4.8951679,"Amsterdam, Netherlands",Match,Google
Response,building,darkblue,white,,"Rionegro, Colombia",,"Rionegro, Colombia","Rionegro, Colombia",6.144837,-75.375085,"Rionegro, Antioquia, Colombia",Match,Google
Response,building,darkblue,white,,Cluj-Napoca,,Cluj-Napoca,Cluj-Napoca,46.7712101,23.6236353,"Cluj-Napoca, Romania",Match,Google
